管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 10:22:09,中部,未提供,外交部,MOFA115078CY,2026年「#FindingTAIWAN_2.0全球徵片競賽網路社群活動」委外案,"2,750,000",否,無,經公開評選或公開徵求之限制性招標,115/05/28,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzM0MDk=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,DP1505005,遠距AI照護平台租賃費計1項,"1,430,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzMyODg=
2026/05/28 10:22:09,中部,未提供,弘光科技大學,1150000079,AI助理,"2,000,000",否,無,公開招標,115/05/28,115/06/10,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI3MDc=
2026/05/28 10:22:09,中部,未提供,中國醫藥大學附設醫院,115CMUH008,健康台灣深耕計畫-生成式AI照護機器人採購案,"33,870,000",否,無,公開招標,115/05/28,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0OTg=
2026/05/28 10:22:09,中部,未提供,國立臺灣大學醫學院附設醫院北護分院,1153104,AI語音輔助病歷專案,"378,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI0NzU=
2026/05/28 10:22:09,中部,未提供,新北市瑞芳區鼻頭國民小學,Bitou1150526,2026臺灣AI教育年會委託服務採購,"777,000",否,無,公開取得報價單或企劃書,115/05/28,115/06/04,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIzNDg=
2026/05/28 10:22:09,中部,未提供,文藻學校財團法人文藻外語大學,A11400239 (更正公告),國企管系AI電腦及麥克風採購案,"1,115,182",否,無,公開招標,115/05/28,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc0NjU=
2026/05/28 10:22:09,中部,未提供,崑山科技大學,153601-1,AI主控工作站等設備一批,"552,184",否,無,公開招標,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMzk=
2026/05/28 10:22:09,中部,未提供,國立雲林科技大學,YTG115028,AI邊緣運算模組,"4,200,000",否,無,公開招標,115/05/27,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE5MTI=
2026/05/28 10:22:09,中部,未提供,財團法人工業技術研究院,A522000923,次產業輔導團AI診斷輔導廠商促案及會議舉辦服務,"1,050,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4OTU=
2026/05/28 10:22:09,中部,未提供,臺北榮民總醫院,115TC040Q,AI智慧內視鏡輔助偵測系統,"1,750,000",否,無,公開招標,115/05/27,115/06/09,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE4MDM=
2026/05/28 10:22:09,中部,未提供,國立成功大學,115-03-021,高階AI運算設備建置壹式,"44,300,000",否,無,公開招標,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE3NDk=
2026/05/28 10:22:09,中部,未提供,國立成功大學,115-05-041,NVIDIA DGX Spark (4TB SSD)桌上型AI伺服器壹台,"164,850",否,無,公開取得電子報價單,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzE2NzY=
2026/05/28 10:22:09,中部,未提供,國立屏東科技大學,1150522073,AI筆記型電腦15臺,"525,000",否,無,公開取得電子報價單,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzExNTQ=
2026/05/28 10:22:09,中部,未提供,國立自然科學博物館,115-a20,車籠埔斷層保存園區地質科學廳導入數位媒體雙語展示並結合AI智慧,"500,000",否,無,公開取得報價單或企劃書,115/05/27,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzExMzU=
2026/05/28 10:22:09,中部,未提供,國立臺灣大學醫學院附設醫院癌醫中心分院,PA2600024,多色流式細胞儀血液病 MRD 監測AI 模型與可視化互動平台共1套招標案,"5,910,000",否,無,公開招標,115/05/27,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzEwMjM=
2026/05/28 10:22:09,中部,未提供,致理學校財團法人致理科技大學,1150308-1,致理科技大學商智所AI驅動智慧碳管理及減碳評價教學平台設備採購案,"1,960,000",否,無,公開招標,115/05/27,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzA3MDk=
2026/05/28 10:22:09,中部,未提供,新北市政府採購處,1150522A,115年度AI青年未來職涯菁英計畫,"2,520,000",否,無,經公開評選或公開徵求之限制性招標,115/05/26,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk4ODQ=
2026/05/28 10:22:09,中部,未提供,衛生福利部食品藥物管理署,115TFDA-DSC-014,115年度「藥品供應AI技術監測應用研究」,"4,000,000",否,無,經公開評選或公開徵求之限制性招標,115/05/26,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk4NDc=
2026/05/28 10:22:09,中部,未提供,臺北市政府衛生局,W11517,115年AI輔助違規食藥粧網頁廣告稽查系統建置案,"4,327,122",否,無,經公開評選或公開徵求之限制性招標,115/05/26,115/06/05,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjkyNjk=
2026/05/28 10:22:09,中部,未提供,中國醫藥大學附設醫院,115CMUH019,健康台灣深耕計畫-AI能源與碳足跡平台軟體採購案,"4,600,000",否,無,公開招標,115/05/26,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgzMTg=
2026/05/28 10:22:09,中部,未提供,明新學校財團法人明新科技大學,2115041601,多媒體與遊戲發展系 元宇宙多人AI影像即時動捕與遊戲互動模擬教學展示系統採購案,"1,558,000",否,無,公開招標,115/05/26,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgwMjc=
2026/05/28 10:22:09,中部,未提供,南臺學校財團法人南臺科技大學,11513000207,AI計算伺服器系統,"520,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk0MTY=
2026/05/28 10:22:09,中部,未提供,高雄市立凱旋醫院,KSPH1153032,健康台灣深耕計畫-建置AI智能排班系統,"1,100,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjkxNTA=
2026/05/28 10:22:09,中部,未提供,屏東縣政府,E1150521-1 (更正公告),屏東縣政府AI推動策略委託專業規劃案,"1,000,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMzI=
2026/05/28 10:22:09,中部,未提供,國立虎尾科技大學,B115046 (更正公告),AI智慧機器人與邊緣運算開發設備採購案,"1,460,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTk4Njk=
2026/05/28 10:22:09,中部,未提供,衛生福利部臺北醫院,INF-2891-11501,乳房攝影AI影像偵測輔助系統租賃,"840,000",否,無,公開取得報價單或企劃書,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg3NTA=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,RP15032,兒童骨齡AI輔助分析軟體,"840,000",否,無,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2OTU=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,RP15020,胸部X光AI輔助診斷軟體,"1,400,000",否,無,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2MDg=
2026/05/28 10:22:09,中部,未提供,新竹市政府,1150152,地政業務流程規劃AI導入策略委託研究案,"3,000,000",否,無,經公開評選或公開徵求之限制性招標,115/05/22,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg0MDA=
2026/05/28 10:22:09,中部,未提供,國立陽明交通大學,F115038,靈巧手與機器人開發AI主機一套,"489,900",否,無,公開取得電子報價單,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMTk=
2026/05/28 10:22:09,中部,未提供,國立中興大學,AT-115009,AI復健機器人與智慧量測系統建置採購案,"5,000,000",否,無,公開招標,115/05/22,115/05/28,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc3NjE=
2026/05/28 10:22:09,中部,未提供,臺中榮民總醫院,TVG115K05,「AI工作站1項」採購案,"900,000",否,無,公開取得報價單或企劃書,115/05/22,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc2OTE=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,DP1504008,目標型態多模態AI辨識演算計1項,"200,000",否,無,公開取得報價單或企劃書,115/05/22,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc1MzU=
2026/05/28 10:22:09,中部,未提供,國立臺中教育大學,115-C028,生成式AI結合RAG之智慧教學助理系統,"4,220,000",否,無,經公開評選或公開徵求之限制性招標,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjcwOTE=
2026/05/28 10:22:09,中部,未提供,法務部,W1150511 (更正公告),法務部及所屬機關115年度公文線上簽核系統AI分文功能增修案,"1,490,000",否,無,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjQzMDA=
2026/05/28 10:22:09,中部,未提供,國立臺灣大學醫學院附設醫院新竹臺大分院,GH151040 (更正公告),問到寶生成式AI教育整合平台委託經銷服務1式,0,否,無,公開取得報價單或企劃書,115/05/22,115/05/29,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDcxMjM=
2026/05/28 10:22:09,中部,未提供,台灣電力股份有限公司,0771500003,配電處地端生成式AI平台委外維護案,"16,570,050",否,無,經公開評選或公開徵求之限制性招標,115/05/21,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjczMjQ=
2026/05/28 10:22:09,中部,未提供,財團法人中華民國對外貿易發展協會,2026I0000272,115韌性-海外市場-協助企業AI行銷-產品或企業形象短廣告拍攝招標案,"9,900,000",否,無,經公開評選或公開徵求之限制性招標,115/05/21,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjY5NjQ=
2026/05/28 10:22:09,中部,未提供,衛生福利部臺北醫院,INF-2874-11516,眼底鏡AI輔助判讀軟體租賃案,"600,000",否,無,公開取得報價單或企劃書,115/05/21,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjY3MzM=
2026/05/28 10:22:09,中部,未提供,高雄榮民總醫院,DP15017,AI演算運算平台計1項,"300,000",否,無,公開取得報價單或企劃書,115/05/21,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjY2OTY=
2026/05/28 10:22:09,中部,未提供,新北市板橋區江翠國民小學,11519,115年度新北市AI智慧校園啟航-戶外多媒體播放器建置計畫採購案,"900,000",否,無,公開取得報價單或企劃書,115/05/21,115/05/25,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjYxMjQ=
2026/05/28 10:22:09,中部,未提供,明新學校財團法人明新科技大學,2115043001,資工系AI運算與儲存整合建置案,"2,496,000",否,無,公開招標,115/05/21,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjYxMDY=
2026/05/28 10:22:09,中部,未提供,佛光大學,F1140254,AI LAB 教學電腦及AI 自學區電腦採購案,"5,415,460",否,無,公開招標,115/05/21,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjYwMzk=
2026/05/28 10:22:09,中部,未提供,臺北市立木柵高級工業職業學校,115029 (更正公告),115年度臺北市AI無人機論壇,"1,470,000",否,無,公開取得報價單或企劃書,115/05/21,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjU4MTI=
2026/05/28 10:22:09,中部,未提供,國立臺灣海洋大學附屬基隆海事高級中等學校,115-C07,AI Agent結合MCU應用開發與I/O控制實戰篇,"832,200",否,無,公開取得報價單或企劃書,115/05/21,115/05/27,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjQzNDk=
